"x","y"
9.35,0.0015974440894569
9.37,0
9.39,0.00159744408945676
9.41,0
9.43,0
9.45,0
9.47,0
9.49,0
9.51,0.0015974440894569
9.53,0.0015974440894569
9.55,0
9.57,0
9.59,0
9.61,0
9.63,0
9.65,0
9.67,0
9.69,0
9.71,0.00159744408945676
9.73,0
9.75,0.0015974440894569
9.77,0
9.79,0
9.81,0.00159744408945676
9.83,0
9.85,0.0015974440894569
9.87,0.0015974440894569
9.89,0
9.91,0.0015974440894569
9.93,0.0015974440894569
9.95,0
9.97,0
9.99,0.0015974440894569
10.01,0
10.03,0
10.05,0
10.07,0
10.09,0
10.11,0.0015974440894569
10.13,0
10.15,0.0015974440894569
10.17,0
10.19,0
10.21,0
10.23,0
10.25,0
10.27,0
10.29,0.0015974440894569
10.31,0
10.33,0
10.35,0
10.37,0.0015974440894569
10.39,0
10.41,0
10.43,0
10.45,0
10.47,0
10.49,0
10.51,0
10.53,0
10.55,0
10.57,0
10.59,0
10.61,0
10.63,0
10.65,0
10.67,0
10.69,0
10.71,0
10.73,0
10.75,0
10.77,0
10.79,0
10.81,0
10.83,0
10.85,0
10.87,0
10.89,0
10.91,0
10.93,0
10.95,0
10.97,0
10.99,0.0015974440894569
11.01,0
11.03,0
11.05,0
11.07,0
11.09,0
11.11,0
11.13,0
11.15,0
11.17,0
11.19,0
11.21,0
11.23,0.00159744408945676
11.25,0.0015974440894569
11.27,0
11.29,0
11.31,0
11.33,0
11.35,0
11.37,0
11.39,0
11.41,0
11.43,0
11.45,0
11.47,0
11.49,0
11.51,0.0015974440894569
11.53,0
11.55,0
11.57,0
11.59,0
11.61,0
11.63,0
11.65,0
11.67,0.0015974440894569
11.69,0
11.71,0.00319488817891381
11.73,0
11.75,0
11.77,0.0015974440894569
11.79,0
11.81,0
11.83,0
11.85,0
11.87,0
11.89,0
11.91,0
11.93,0
11.95,0.0015974440894569
11.97,0
11.99,0.0015974440894569
12.01,0
12.03,0.0015974440894569
12.05,0
12.07,0
12.09,0.0015974440894569
12.11,0
12.13,0
12.15,0
12.17,0
12.19,0
12.21,0.0015974440894569
12.23,0.0015974440894569
12.25,0
12.27,0
12.29,0.0015974440894569
12.31,0
12.33,0.0015974440894569
12.35,0
12.37,0.0015974440894569
12.39,0.0015974440894569
12.41,0
12.43,0
12.45,0.0015974440894569
12.47,0.00159744408945676
12.49,0.00319488817891381
12.51,0.0015974440894569
12.53,0
12.55,0
12.57,0.0015974440894569
12.59,0.00319488817891352
12.61,0.0015974440894569
12.63,0.00638977635782761
12.65,0
12.67,0.00798722044728451
12.69,0.00638977635782761
12.71,0.0015974440894569
12.73,0.00479233226837071
12.75,0.00479233226837028
12.77,0.00958466453674142
12.79,0.0111821086261983
12.81,0.00638977635782704
12.83,0.0015974440894569
12.85,0.0111821086261983
12.87,0.0127795527156552
12.89,0.0111821086261983
12.91,0.0239616613418514
12.93,0.0111821086261983
12.95,0.0175718849840259
12.97,0.0367412140575088
12.99,0.0303514376996785
13.01,0.0383386581469657
13.03,0.0431309904153364
13.05,0.081469648562302
13.07,0.0798722044728452
13.09,0.110223642172517
13.11,0.145367412140578
13.13,0.196485623003199
13.15,0.185303514376984
13.17,0.261980830670932
13.19,0.324281150159751
13.21,0.33546325878595
13.23,0.424920127795536
13.25,0.539936102236385
13.27,0.710862619808322
13.29,0.83067092651759
13.31,1.11022364217245
13.33,1.19488817891376
13.35,1.49520766773166
13.37,1.61022364217256
13.39,1.96006389776362
13.41,2.08945686900963
13.43,2.16773162939282
13.45,2.23322683706075
13.47,2.11821086261967
13.49,2.01118210862624
13.51,1.7827476038339
13.53,1.68849840255595
13.55,1.4345047923323
13.57,1.26198083067095
13.59,1.01916932907341
13.61,0.961661341853056
13.63,0.824281150159762
13.65,0.656549520766729
13.67,0.563897763578287
13.69,0.40734824281151
13.71,0.413738019169338
13.73,0.29392971246007
13.75,0.269968051118217
13.77,0.198083067092638
13.79,0.177316293929716
13.81,0.183706070287528
13.83,0.161341853035147
13.85,0.135782747603837
13.87,0.123003194888182
13.89,0.107028753993613
13.91,0.153354632587863
13.93,0.121405750798714
13.95,0.121405750798725
13.97,0.148562300319479
13.99,0.126198083067095
14.01,0.135782747603837
14.03,0.126198083067095
14.05,0.153354632587863
14.07,0.140575079872207
14.09,0.158146964856233
14.11,0.161341853035133
14.13,0.143769968051121
14.15,0.198083067092638
14.17,0.150159744408949
14.19,0.153354632587863
14.21,0.15974440894569
14.23,0.172523961661346
14.25,0.194888178913742
14.27,0.209265175718836
14.29,0.217252396166139
14.31,0.239616613418514
14.33,0.250798722044734
14.35,0.253993610223648
14.37,0.26837060702876
14.39,0.319488817891381
14.41,0.345047923322691
14.43,0.362619808306685
14.45,0.405750798722053
14.47,0.484025559105442
14.49,0.586261980830631
14.51,0.591054313099054
14.53,0.638977635782761
14.55,0.706070287539951
14.57,0.638977635782761
14.59,0.599041533546339
14.61,0.61182108626194
14.63,0.463258785942502
14.65,0.492012779552682
14.67,0.36102236421726
14.69,0.292332268370613
14.71,0.261980830670932
14.73,0.20607028753994
14.75,0.166134185303518
14.77,0.126198083067084
14.79,0.105431309904156
14.81,0.0846645367412083
14.83,0.0734824281150175
14.85,0.0447284345047933
14.87,0.0319488817891381
14.89,0.033546325878595
14.91,0.0271565495207674
14.93,0.0287539936102243
14.95,0.0287539936102217
14.97,0.0271565495207674
14.99,0.0175718849840244
15.01,0.0223642172523966
15.03,0.0207667731629397
15.05,0.015974440894569
15.07,0.0239616613418535
15.09,0.0111821086261983
15.11,0.0111821086261973
15.13,0.0239616613418535
15.15,0.0223642172523947
15.17,0.0271565495207674
15.19,0.0271565495207674
15.21,0.0207667731629397
15.23,0.0127795527156552
15.25,0.0207667731629397
15.27,0.0223642172523947
15.29,0.0143769968051121
15.31,0.0223642172523966
15.33,0.0159744408945676
15.35,0.0239616613418535
15.37,0.0351437699680519
15.39,0.0303514376996812
15.41,0.033546325878595
15.43,0.0255591054313104
15.45,0.0351437699680487
15.47,0.0271565495207674
15.49,0.0367412140575055
15.51,0.0287539936102243
15.53,0.0415335463258795
15.55,0.0591054313099054
15.57,0.0638977635782761
15.59,0.0367412140575088
15.61,0.0559105431309866
15.63,0.0559105431309916
15.65,0.0527156549520731
15.67,0.0559105431309916
15.69,0.0623003194888192
15.71,0.0527156549520778
15.73,0.0351437699680519
15.75,0.0351437699680519
15.77,0.0463258785942502
15.79,0.0207667731629379
15.81,0.0175718849840259
15.83,0.0143769968051108
15.85,0.00958466453674142
15.87,0.00638977635782761
15.89,0.0015974440894569
15.91,0.0111821086261983
15.93,0.00638977635782761
15.95,0.00638977635782704
15.97,0.00479233226837071
15.99,0.00159744408945676
16.01,0.00319488817891381
16.03,0.00319488817891381
16.05,0.00319488817891381
16.07,0.00319488817891381
16.09,0.00319488817891381
16.11,0.0015974440894569
16.13,0.00319488817891324
16.15,0.00319488817891381
16.17,0.0015974440894569
16.19,0
16.21,0
16.23,0
16.25,0.0015974440894569
16.27,0
16.29,0
16.31,0.00319488817891324
16.33,0
16.35,0
16.37,0
16.39,0
16.41,0
16.43,0
16.45,0
16.47,0
16.49,0
16.51,0.0015974440894569
16.53,0
16.55,0
16.57,0.00319488817891381
16.59,0.0015974440894569
16.61,0.0015974440894569
16.63,0
16.65,0
16.67,0.00159744408945662
16.69,0
16.71,0.0015974440894569
16.73,0.00319488817891381
16.75,0.0015974440894569
16.77,0.00479233226837071
16.79,0.0015974440894569
16.81,0.00319488817891324
16.83,0.00479233226837071
16.85,0.0015974440894569
16.87,0
16.89,0.0015974440894569
16.91,0.0015974440894569
16.93,0
16.95,0
16.97,0
16.99,0
17.01,0
17.03,0
17.05,0.0015974440894569
