well,binning,celltype,channel.1,channel.2,magnification,marker.1,marker.2,media.overnight,media.starvation,microscope,rep,time.starvation,time.treatment,treatment,n,sum.area,mean.area,median.area,sd.area,mad.area,sum.totalIntensity.1,mean.totalIntensity.1,median.totalIntensity.1,sd.totalIntensity.1,mad.totalIntensity.1,sum.sdIntensity.1,mean.sdIntensity.1,median.sdIntensity.1,sd.sdIntensity.1,mad.sdIntensity.1,sum.totalIntensity.2,mean.totalIntensity.2,median.totalIntensity.2,sd.totalIntensity.2,mad.totalIntensity.2,sum.sdIntensity.2,mean.sdIntensity.2,median.sdIntensity.2,sd.sdIntensity.2,mad.sdIntensity.2,sum.denoisedTotalIntensity.1,mean.denoisedTotalIntensity.1,median.denoisedTotalIntensity.1,sd.denoisedTotalIntensity.1,mad.denoisedTotalIntensity.1,sum.denoisedTotalIntensityMult.1,mean.denoisedTotalIntensityMult.1,median.denoisedTotalIntensityMult.1,sd.denoisedTotalIntensityMult.1,mad.denoisedTotalIntensityMult.1,sum.denoisedTotalIntensity.2,mean.denoisedTotalIntensity.2,median.denoisedTotalIntensity.2,sd.denoisedTotalIntensity.2,mad.denoisedTotalIntensity.2,sum.denoisedTotalIntensityMult.2,mean.denoisedTotalIntensityMult.2,median.denoisedTotalIntensityMult.2,sd.denoisedTotalIntensityMult.2,mad.denoisedTotalIntensityMult.2,sum.denoisedNormalTotalIntensity.1,mean.denoisedNormalTotalIntensity.1,median.denoisedNormalTotalIntensity.1,sd.denoisedNormalTotalIntensity.1,mad.denoisedNormalTotalIntensity.1,sum.denoisedNormalTotalIntensityMult.1,mean.denoisedNormalTotalIntensityMult.1,median.denoisedNormalTotalIntensityMult.1,sd.denoisedNormalTotalIntensityMult.1,mad.denoisedNormalTotalIntensityMult.1,sum.denoisedNormalTotalIntensity.2,mean.denoisedNormalTotalIntensity.2,median.denoisedNormalTotalIntensity.2,sd.denoisedNormalTotalIntensity.2,mad.denoisedNormalTotalIntensity.2,sum.denoisedNormalTotalIntensityMult.2,mean.denoisedNormalTotalIntensityMult.2,median.denoisedNormalTotalIntensityMult.2,sd.denoisedNormalTotalIntensityMult.2,mad.denoisedNormalTotalIntensityMult.2
B3,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,1,180,60,TGFB1,626,86231,137.749201277955,137,12.8441503946747,11.8608,6921443,11056.6182108626,10961.5,916.1713723992,936.2619,10673.7997,17.0507982428115,16.1478,5.75863545980234,5.62958046,26124481,41732.3977635783,39694.5,12294.7408510766,10068.3366,40771.4614,65.1301300319489,60.8128,25.3999944986449,23.4035823,6861898.82153446,10961.4997149113,10961.4997149113,5.82076609134674e-13,0,6861898.82153446,10961.4997149113,10961.4997149113,6.2864442211264e-12,0,25873245.90813,41331.0637510064,39340.8646919744,12150.0719914056,10252.4009630751,26068886.7558937,41643.5890669228,39684.5215693842,12774.0043319747,10761.5710948874,6994610.82492057,11173.4997203204,11173.4997203204,0,0,6994610.82492057,11173.4997203204,11173.4997203204,6.36011927461374e-12,0,26373645.3438945,42130.423872036,40101.7335278466,12385.0594835272,10450.6867009903,26573069.9677712,42448.99355874,40452.0368735103,13021.0589374491,10969.7043968683
B4,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,1,180,60,Wnt3A.CFHP,618,86124,139.359223300971,138.5,17.0537453610116,18.5325,6924943,11205.4093851133,11173.5,952.780735714875,1070.4372,11102.206,17.9647346278317,17.0219,5.712327738672,5.93922147,15882227,25699.3964401295,24726,6961.04683345982,6491.5641,19735.4137,31.9343263754045,29.02225,13.1744749709687,11.30971758,6905222.827158,11173.4997203204,11173.4997203204,0,0,6905222.827158,11173.4997203204,11173.4997203204,6.09305015297286e-12,0,15784960.3913868,25542.007105804,24634.2546377521,6638.16563008723,6321.68711516875,15865306.0864363,25672.0163210943,24812.7183528328,6691.50271351733,6389.38542850331,6905222.827158,11173.4997203204,11173.4997203204,0,0,6905222.827158,11173.4997203204,11173.4997203204,6.09305015297286e-12,0,15784960.3913868,25542.007105804,24634.2546377521,6638.16563008723,6321.68711516875,15865306.0864363,25672.0163210943,24812.7183528328,6691.50271351733,6389.38542850331
B5,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,1,180,60,Wnt5A.CF,556,74505,134.001798561151,134,13.0493863168287,13.3434,6123529,11013.5413669065,10849,849.91964013199,830.9973,9694.954,17.4369676258993,16.68795,5.44923938137816,5.52224022,15123464,27200.4748201439,26041.5,7333.25668354465,6736.9344,19602.41,35.2561330935252,31.51295,15.3779290975748,11.75501649,6032043.89750207,10848.9998156512,10848.9998156512,0,0,6032043.89750207,10848.9998156512,10848.9998156512,6.15664254741691e-12,0,14957727.7703695,26902.3880762042,25739.7787181114,7096.79022069707,6243.86032125494,14903334.5306457,26804.5585083556,25827.644485425,7110.89048462371,6169.68909847443,6212465.84449814,11173.4997203204,11173.4997203204,0,0,6212465.84449814,11173.4997203204,11173.4997203204,6.15664254741691e-12,0,15405122.121741,27707.0541757932,26509.6704945112,7309.0593504975,6430.61782088102,15349101.9485298,27606.2984685787,26600.1643781121,7323.58136153243,6354.22809361803
B6,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,1,180,60,Wnt3A,520,72415,139.259615384615,139,12.1995255540487,11.8608,5953448,11448.9384615385,11441,865.879038162841,926.625,9534.2687,18.3351321153846,17.8675,5.41436308532389,5.14921806,23806564,45781.8538461538,44444,12784.8128567479,12180.3003,41207.6634,79.2455065384615,74.55065,28.9444276774182,25.89709311,5949318.88646087,11440.9978585786,11440.9978585786,1.19767159405314e-12,0,5949318.88646087,11440.9978585786,11440.9978585786,6.34954230067161e-12,0,23995613.3406194,46145.4102704219,45165.8693078984,12641.8238213348,11686.9708503999,23864591.517381,45893.4452257326,45162.0285698373,12678.1654478499,11716.3244534504,5810219.8545666,11173.4997203204,11173.4997203204,0,0,5810219.8545666,11173.4997203204,11173.4997203204,6.46150947342955e-12,0,23434579.9435048,45066.4998913554,44109.8612479357,12346.2495735117,11413.7217000195,23306621.4976239,44820.4259569691,44106.1103088845,12381.7415086315,11442.3889963105
C3,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,2,180,60,TGFB1,819,117142,143.030525030525,142,15.8148763519411,14.826,9150498,11172.7692307692,11107,832.895394172644,821.3604,13382.6528,16.3402354090354,15.9817,4.92893563358172,4.65269532,32625607,39835.905982906,38170,11588.1445068733,10461.2256,48418.1582,59.1186302808303,55.8722,21.2075030015694,19.70019576,9096633,11107,11107,4.45196311277456e-13,0,9096633,11107,11107,6.27672347142643e-12,0,32519049.2904342,39705.798889419,38110.086685076,11501.8934301409,10069.3302421303,32544374.1632444,39736.720590042,37761.140827003,11786.8396572429,10138.9410396672,9151096.2709424,11173.4997203204,11173.4997203204,6.35994730396365e-14,0,9151096.2709424,11173.4997203204,11173.4997203204,6.28831246708595e-12,0,32713747.0200551,39943.5250550123,38338.2590183742,11570.7574524925,10129.6172363606,32739223.5176928,39974.6318897348,37987.2239551181,11857.4097068213,10199.6448069745
C4,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,2,180,60,Wnt3A.CFHP,921,127461,138.394136807818,138,13.2243980852077,13.3434,10555192,11460.5776330076,11431,822.216928095621,856.9428,15903.4319,17.2675699239957,16.3513,5.53662047905824,5.39503314,21763530,23630.325732899,22385,6586.48473789156,5622.0192,26200.6688,28.4480660152009,25.7232,11.8464322643509,9.14675244,10527951,11431,11431,9.5952487520959e-13,0,10527951,11431,11431,6.56065266206987e-12,0,21333671.2588364,23163.5952864674,21872.128848931,6322.43013195668,5269.09854743301,21745016.6528866,23610.2243788128,22264.7848747002,6468.37041530218,5404.62295078447,10290793.2424151,11173.4997203204,11173.4997203204,0,0,10290793.2424151,11173.4997203204,11173.4997203204,6.56065266206987e-12,0,20853098.5779036,22641.8008446293,21379.4266097754,6180.00798802932,5150.40426437612,21255177.8050381,23078.3689522673,21763.2374744516,6322.66074939267,5282.87577893688
C5,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,2,180,60,Wnt5A.CF,847,134394,158.670602125148,158,13.5676702537524,14.826,9687771,11437.746162928,11461,781.780442372964,776.8824,15058.6236,17.7787763872491,17.342,4.53408669647155,4.79754534,23702824,27984.4439197166,26759,7396.40871333594,6732.4866,28648.618,33.8236340023613,31.7425,11.2826936384513,10.32838464,9707467,11461,11461,5.00305151343148e-13,0,9707467,11461,11461,6.73091741498503e-12,0,23414231.7995709,27643.7211329054,26468.0225128245,7241.50466186653,6493.49723163626,23827015.0509225,28131.0685370986,26714.3808018784,7485.28031884246,6478.11390514122,9463954.26311138,11173.4997203204,11173.4997203204,0,0,9463954.26311138,11173.4997203204,11173.4997203204,6.7494854983035e-12,0,22826883.5585047,26950.2757479394,25804.0696400383,7059.85082576254,6330.60723336437,23229312.1025698,27425.3979959502,26044.2480078808,7297.51134709938,6315.60979908377
C6,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,2,180,60,Wnt3A,598,86568,144.76254180602,144,15.9777001705856,17.7912,6600044,11036.8628762542,10994.5,901.664573409163,948.864,10372.667,17.3455969899666,16.9546,4.8240741639046,4.88301723,25599247,42808.1053511706,41636.5,11782.2374395819,12083.9313,41276.3704,69.0240307692308,64.8198,24.1159634776191,21.82913523,6574710.99320114,10994.4999886307,10994.4999886307,5.2112396256147e-13,0,6574710.99320114,10994.4999886307,10994.4999886307,6.39978262129098e-12,0,25845054.3216658,43219.1543840565,42028.2872927203,11859.6263913624,11998.254293888,25664039.9240674,42916.4547225207,41523.8751250855,12210.7072695472,11589.2818341895,6681752.8327516,11173.4997203204,11173.4997203204,0,0,6681752.8327516,11173.4997203204,11173.4997203204,6.42096470821432e-12,0,26265833.6016575,43922.798664979,42712.5432531145,12052.7111104664,12193.5959921528,26081872.1370132,43615.170797681,42199.9188300102,12409.5078814214,11777.965115916
D3,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,3,180,60,TGFB1,770,108991,141.546753246753,141,17.0684698126861,15.5673,8413746,10926.9428571429,10873.5,958.629506060812,1116.3978,13030.764,16.9230701298701,16.1979,5.3824366685731,5.32053249,28626222,37176.9116883117,35188.5,11275.6221019831,9745.8711,44499.4342,57.791472987013,54.13575,21.9533493234429,20.38834455,8372594.99114821,10873.4999885042,10873.4999885042,9.83916533152231e-13,0,8372594.99114821,10873.4999885042,10873.4999885042,5.9867276274817e-12,0,28211397.9167524,36638.1791126655,34713.9287601517,10776.7498223202,9009.18258242381,28551984.864621,37080.4998241831,34893.8922047613,10932.0333687022,9211.54781973619,8603594.7846467,11173.4997203204,11173.4997203204,6.55944355434821e-14,0,8603594.7846467,11173.4997203204,11173.4997203204,6.48390295104522e-12,0,28989750.040552,37649.0260266909,35671.6856304643,11074.0802182336,9257.74581978695,29339733.7781505,38103.5503612345,35856.6142643116,11233.6480357629,9465.69431152401
D4,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,3,180,60,Wnt3A.CFHP,1003,140765,140.343968095713,140,13.7425839556984,13.3434,11441727,11407.5044865404,11393,792.477766696577,827.2908,16277.5263,16.228839780658,15.6408,5.29026204560232,5.20451904,23348273,23278.4376869392,22179,6426.48389590504,5371.4598,26794.2775,26.7141350947159,24.7463,10.8383572842319,7.75963188,11427179,11393,11393,1.78138586596137e-12,0,11427179,11393,11393,6.59811537717668e-12,0,22985795.1619831,22917.0440298934,21786.14730249,6222.0026884822,5134.93122121266,23363423.3758502,23293.5427476074,22288.5163159938,6369.50139075555,5410.10375598951,11207020.2194814,11173.4997203204,11173.4997203204,0,0,11207020.2194814,11173.4997203204,11173.4997203204,6.93484316084784e-12,0,22542945.3009532,22475.518744719,21366.4101458116,6102.12808738599,5036.00040060424,22913298.0387772,22844.7637475346,21859.1003970081,6246.78504416638,5305.87139510691
D5,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,3,180,60,Wnt5A.CF,894,128988,144.281879194631,143,15.3985124004445,14.826,10039236,11229.5704697987,11187.5,858.23022610969,984.4464,14961.1388,16.7350545861298,16.07515,5.22416913315397,5.00918649,24126256,26986.8635346756,25549.5,7715.0989549747,6673.9239,28883.3618,32.3080109619687,29.5767,13.7357369847926,11.13365883,10001624.9101006,11187.4998994413,11187.4998994413,1.33914350872379e-12,0,10001624.9101006,11187.4998994413,11187.4998994413,6.26341814300258e-12,0,23693106.7906946,26502.3565891438,25032.648729248,7426.38962717429,6415.06063415696,24080085.6986713,26935.2189023169,25455.7782101456,7589.88593674822,6747.92090563577,9989108.74996643,11173.4997203204,11173.4997203204,0,0,9989108.74996643,11173.4997203204,11173.4997203204,6.40497557927046e-12,0,23663456.9366626,26469.1912043206,25001.3225554619,7417.09614910172,6407.0327459999,24049951.5743308,26901.5118281105,25423.9225267661,7580.38785732234,6739.47647191761
D6,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,3,180,60,Wnt3A,689,98127,142.419448476052,141,15.1209166787932,14.826,7829483,11363.5457184325,11349,892.423433959161,922.1772,11894.8406,17.2639195936139,16.6327,5.36609302256673,5.39992572,30278941,43946.2133526851,41953,13603.631798208,12418.2576,48872.7257,70.9328384615385,67.4559,25.9914504628705,23.74710072,7819461,11349,11349,1.1095731339636e-12,0,7819461,11349,11349,6.4460374038603e-12,0,30219881.9621343,43860.4963165955,41775.6232847775,13483.2718394864,12228.9258780384,30404634.89005,44128.6428012336,41783.7593414082,13812.5196116629,12462.5230652931,7698541.30730075,11173.4997203204,11173.4997203204,0,0,7698541.30730075,11173.4997203204,11173.4997203204,6.63428242473846e-12,0,29752563.4551082,43182.240138038,41129.6074622144,13274.7673035074,12039.8184754675,29934459.374431,43446.2400209448,41137.6177033359,13598.9236071755,12269.8033293276
